,SevereWasting,Wasting,Overweight,Stunting,Underweight,,,,,,,,,,,,,,,,,,,,,,
0,3.033333333,10.35,5.125,47.775,30.375,,,,,,,,,,,,,,,,,,,,,,
1,4.075,7.76,20.8,24.16,7.7,,,,,,,,,,,,,,,,,,,,,,
2,2.733333333,5.942857143,12.83333333,19.57142857,7.342857143,,,,,,,,,,,,,,,,,,,,,,
3,2.4,6.933333333,2.55,42.63333333,23.6,,,,,,,,,,,,,,,,,,,,,,
4,0.2,2.15,11.125,10.025,2.6,,,,,,,,,,,,,,,,,,,,,,
5,1.6,3.94,13.62,16.12,3.48,,,,,,,,,,,,,,,,,,,,,,
6,0,0,13.875,1,0.1,,,,,,,,,,,,,,,,,,,,,,
7,2.575,5.433333333,9.183333333,21.81666667,8.083333333,,,,,,,,,,,,,,,,,,,,,,
8,2.168649695,6.7,7.5,13.75,6.95,,,,,,,,,,,,,,,,,,,,,,
9,2.813636364,14.5375,0.9625,54.22916667,46.26666667,,,,,,,,,,,,,,,,,,,,,,
10,2,6.8,12.2,7.7,3.5,,,,,,,,,,,,,,,,,,,,,,
11,0.6,2.2,9.7,4.5,1.3,,,,,,,,,,,,,,,,,,,,,,
12,0.833333333,2.333333333,9.6,18.76666667,5.3,,,,,,,,,,,,,,,,,,,,,,
13,2.425,7.7,2.275,35.375,20.125,,,,,,,,,,,,,,,,,,,,,,
14,1.4,4.525,5.1,44.25,17.8,,,,,,,,,,,,,,,,,,,,,,
15,0.7,1.9,8.6,29.72857143,7.472727273,,,,,,,,,,,,,,,,,,,,,,
16,2.2,4.566666667,19.8,10.93333333,2.466666667,,,,,,,,,,,,,,,,,,,,,,
17,2.85,8.8,10.05,31.03333333,12.66666667,,,,,,,,,,,,,,,,,,,,,,
18,0.7,2.3,6.25,13.13333333,3.925,,,,,,,,,,,,,,,,,,,,,,
19,0.4,2.9,8.3,19.7,9.6,,,,,,,,,,,,,,,,,,,,,,
20,1.533333333,4.666666667,9,7.466666667,2.01,,,,,,,,,,,,,,,,,,,,,,
21,4.169230769,12.73076923,2.25,33.34615385,25.07692308,,,,,,,,,,,,,,,,,,,,,,
22,1.26,6.666666667,1.775,57.6,32.25,,,,,,,,,,,,,,,,,,,,,,
23,2.168649695,5.55,7.201637972,24.1,12.75,,,,,,,,,,,,,,,,,,,,,,
24,3.483333333,11.46666667,3.033333333,43.68333333,31.98333333,,,,,,,,,,,,,,,,,,,,,,
25,1.814285714,5.671428571,8.042857143,33.74285714,14.68571429,,,,,,,,,,,,,,,,,,,,,,
26,2.168649695,6.599257124,10.4,25.81472822,13.50311337,,,,,,,,,,,,,,,,,,,,,,
27,3.16,8.766666667,5.38,41.78333333,23.36666667,,,,,,,,,,,,,,,,,,,,,,
28,5.5,15.24,3.04,41.26,31.4,,,,,,,,,,,,,,,,,,,,,,
29,2.168649695,0.466666667,11.31333333,3.453333333,0.746666667,,,,,,,,,,,,,,,,,,,,,,
30,0.92,3.175,7.027272727,20.6,7.9,,,,,,,,,,,,,,,,,,,,,,
